"","Intercept","InterceptStdErr","Slope","SlopeStdErr","ResidStdErr","Rsq","AdjRsq","DegFree","Fstat","Pvalue"
"Subsample16",0.713199390644535,0.160160364112992,0.383297451713002,0.064020018855732,0.369259432199863,0.536247246850485,0.521287480619856,31,35.8459643408425,1.27280028827699e-06
"Subsample17",0.6931049151518,0.219170689191199,0.347628079297101,0.083629243445536,0.434826986150928,0.357896105222203,0.337183076358403,31,17.2787914107385,0.000235830115752183
"Subsample18",0.816685568048412,0.173730541942228,0.340866515665836,0.0712395210953873,0.410049196443524,0.424799648630351,0.406244798586168,31,22.8942647134755,3.97648199271414e-05
"Subsample19",0.710662661738181,0.151263235550268,0.384589936963702,0.0580364126279999,0.398687881113299,0.58618753994951,0.572838750915624,31,43.9131623446468,2.09087691844774e-07
"Subsample20",0.766392676981816,0.199865393594359,0.303302293000215,0.0831562316872796,0.386424499330917,0.300279019113095,0.277707374568356,31,13.3033735542803,0.00096293675463112
"Subsample21",0.538557264825631,0.155226357317305,0.443285339029287,0.0567343075267249,0.366807454779754,0.663221133255093,0.652357298843967,31,61.0485311315003,8.11549746802977e-09
"Subsample22",0.703908717517786,0.188855758328051,0.329850654927094,0.0746049059220038,0.404176365158392,0.386720219719705,0.366937001000986,31,19.5478918379335,0.000111905167996196
"Subsample23",0.626225923275673,0.154647417599805,0.431363472289056,0.0587553612151056,0.335569989281598,0.634866129954195,0.623087618017233,31,53.900368174859,2.89828620012573e-08
"Subsample24",0.682496124271948,0.167722169687742,0.363217108388643,0.068361124980563,0.361638225689743,0.476618482394929,0.459735207633475,31,28.2302153539012,8.74760645012052e-06
"Subsample25",0.327354199961137,0.232671926516467,0.503425188348142,0.0818842597820887,0.38154352024592,0.549405623899198,0.534870321444333,31,37.7980180051449,8.05865333577379e-07
"Subsample26",0.629196184558865,0.162026048060358,0.389911817260597,0.0610130439369712,0.393291725874315,0.568486470758702,0.554566679492854,31,40.8401577222973,4.05797356773075e-07
"Subsample27",0.710106038743413,0.170044523808588,0.334862793014621,0.0647456217736077,0.36110761185804,0.463197275537647,0.445881058619506,31,26.7493343221176,1.31171555947903e-05
"Subsample28",0.712523032540024,0.17566384046694,0.36066472747601,0.0664470804708051,0.389397606941295,0.487277418505279,0.470737980392546,31,29.4615461047705,6.29661887602919e-06
"Subsample29",0.869401042400614,0.202617035986002,0.301169721087535,0.0722663010529206,0.430143912418796,0.359080993753636,0.338406187100528,31,17.3680460368246,0.000228847682166232
"Subsample30",0.539367085513503,0.162932317438679,0.416967763332747,0.0631172956456771,0.384426881187791,0.584686210903868,0.571288991900767,31,43.6423567285518,2.21416999076829e-07
"Subsample31",0.523363962703739,0.186631052609595,0.414459050151347,0.069445515121808,0.405221267725931,0.534663348444588,0.519652488716994,31,35.6184361287272,1.34365972892285e-06
"Subsample32",0.532758876085964,0.154486998488594,0.447186679210023,0.0587488314639057,0.33256501859317,0.651450813497154,0.640207291351901,31,57.9401014273975,1.39353282885828e-08
"Subsample33",0.802522262461099,0.153088128375968,0.353188986363972,0.0620284355962909,0.382205006593566,0.511206505437662,0.495438973355006,31,32.4214660073517,2.93817227592487e-06
