FIPS,State,County,Latitude_dd,Longitude_dd,College_degree,Lack_HealthIns,Renter_Occ,Smokers,Physically_Inactive,Severe_Housing_Problems,Food_Insecure,Rural
55075,WI,Marinette,45.346899,-87.991198,15.9,5.9,25.6,16.4,23.1,15.3,12,61.8
55077,WI,Marquette,43.826053,-89.409095,15.1,7.9,19.1,16.6,21.7,14,11,100
55078,WI,Menominee,44.991304,-88.669251,17.9,24.9,33.7,35.7,29.4,20.9,18,100
55079,WI,Milwaukee,43.017655,-87.481575,31,8.8,50.3,20.3,22,22.6,18,0.2
55081,WI,Monroe,43.945175,-90.619969,20.6,8.9,30.1,17.4,24.3,14.5,12,57.7
55083,WI,Oconto,44.996575,-88.206516,16.8,5.1,16.7,15.5,24.8,11.2,10,81.3
55085,WI,Oneida,45.713791,-89.536693,27.2,5.6,16.3,16.5,21.8,13.9,11,75
55087,WI,Outagamie,44.418226,-88.464988,29.7,5.2,29.5,15.2,18.7,11.8,10,24.7
55089,WI,Ozaukee,43.360715,-87.496553,49,3.6,24.8,14.1,18.9,10.8,8,24.9
55091,WI,Pepin,44.627436,-91.83489,20.6,8.4,18.8,16.5,25.5,11.5,10,100
55093,WI,Pierce,44.725337,-92.426279,29.2,5.6,27.2,16,21.6,15,10,53.6
55095,WI,Polk,45.46803,-92.453154,20.9,7.3,21.6,16.1,19.9,16,11,85.5
55097,WI,Portage,44.476246,-89.49807,32.9,5.1,31.4,16.9,21,14.2,12,36
55099,WI,Price,45.679072,-90.35965,16.5,5.5,21.8,17.2,18.5,15.7,11,100
55101,WI,Racine,42.754075,-87.414676,25.2,6.4,31,17.9,21.4,15.8,12,12.3
55103,WI,Richland,43.376199,-90.435693,19,8,25.8,18.1,18.6,16.5,11,72.1
55105,WI,Rock,42.669931,-89.075119,22.1,7.4,31.3,17.2,21.9,15.8,12,20.4
55107,WI,Rusk,45.472734,-91.136745,16.6,10.1,22.5,18.4,27.6,15.9,13,76.6
55109,WI,St. Croix,45.028959,-92.447284,35.4,4.8,24.3,14.5,20.3,13.3,9,53.2
55111,WI,Sauk,43.427998,-89.943329,24.1,7.8,31.3,16.5,24,13.3,11,46.1
55113,WI,Sawyer,45.864913,-91.14713,24.2,9,27,19.8,25.5,18.2,14,84.2
55115,WI,Shawano,44.789641,-88.755813,15.7,7.7,23.7,17.7,22.5,13.4,11,74.4
55117,WI,Sheboygan,43.746002,-87.730546,25.1,5.3,30.4,16.6,20.1,11.3,10,28.3
55119,WI,Taylor,45.211656,-90.504853,15.1,9.2,23.2,16.9,22.7,14.5,11,80.4
55121,WI,Trempealeau,44.30305,-91.358867,19.3,8.1,27.9,15.6,19.8,11.7,10,89.6
55123,WI,Vernon,43.599858,-90.815226,22.4,16.6,22.8,17.1,26.5,17.4,11,85.7
55125,WI,Vilas,46.049848,-89.501254,29.1,8.1,23.5,16.1,21.9,16.9,13,100
55127,WI,Walworth,42.66811,-88.541731,28.8,8.2,31.6,16.2,23.2,18.5,11,34.2
55129,WI,Washburn,45.892463,-91.796423,23,6.7,21.6,17.4,24,16.4,12,83.2
55131,WI,Washington,43.391156,-88.232917,31.5,4.2,22.5,14.1,17.5,11.7,9,30.8
55133,WI,Waukesha,43.019308,-88.306707,44.5,3.4,23.7,14,15.9,12.3,8,9.9
55135,WI,Waupaca,44.478004,-88.967006,19.9,6.8,26.4,16.1,23.7,12,11,64.9
55137,WI,Waushara,44.112825,-89.239752,16.3,8.2,18.5,17.3,25.4,15.3,11,89.5
55139,WI,Winnebago,44.085707,-88.668149,28.3,5.3,35.5,16.9,19.2,13.8,12,13.4
55141,WI,Wood,44.461413,-90.038825,21.6,5.1,27.1,16.5,22.4,11.4,11,36.7
