Etheostoma_olmstedi_presence,Slope,ArbolateSum,ElevCat,PctAg2006Slp10Cat,CBNFCat,FertCat,ManureCat,Pestic97Cat,BFICat,RunoffCat,RdDensCat,PctImp2001Cat,Al2O3Cat,CaOCat,Fe2O3Cat,K2OCat,MgOCat,Na2OCat,P2O5Cat,SCat,NCat,HydrlCondCat,KffactCat,ClayCat,SandCat,OmCat,PermCat,RckDepCat,WtDepCat,InorgNWetDep_2008Cat,NH4_2008Cat,NO3_2008Cat,SN_2008Cat,PctConif2001Cat,PctCrop2001Cat,PctDecid2001Cat,PctGrs2001Cat,PctHay2001Cat,PctMxFst2001Cat,PctUrban2001Cat,PctWdWet2001Cat,HUDen2010Cat,PopDen2010Cat,Precip8110Cat,Tmax8110Cat,Tmean8110Cat,Tmin8110Cat,MSST_2008,MWST_2008
0,-3.575570769,0.66371837,5.378660592,0,0,0,0,0.012108349,53,505,1.742476139,0.067925635,14.65069199,0.530531154,1.800611833,1.016801536,0.77046737,0.552050079,-1.848914125,-2.538839251,-3.347789268,-1.514236861,0.41,29.94,15.57,-0.891598119,1.566530411,107.44,181.58,3.192143584,1.942717224,7.465461181,458.4023989,3.69244452,0,3.787431128,0,0,2.839913536,0.955511445,0,1.393548754,1.905502364,1119.289213,19.94424052,13.52068898,7.090066771,19.89123127,4.826517837
0,-3.5545881,0.680061941,5.283521647,0.374220569,0.61203229,1.730409673,0.352126036,1.551945325,46.69213313,424,1.918331573,0,9.539550073,0.426996332,1.110330825,0.652788969,0.345973167,-0.431763441,-1.790275437,-0.877736702,-2.022874587,-1.916825326,0.29,32.66331316,25.92869138,-0.558198487,1.609198852,138.917882,135.8194856,3.577108759,2.375093819,7.694251564,505.5032343,0.51926195,0,3.778223585,1.548945657,3.516837708,0.320789057,0,0,2.611091804,3.328529929,1128.0782,20.87029212,14.33156854,7.792423121,19.12066826,6.139125522
1,-6.14879695,5.368356357,4.757939086,2.714969789,1.452410605,1.594950335,0.230678638,1.128075504,51.23434594,404,1.761673562,0.141135698,13.49272843,1.953205318,2.336333778,0.020235324,1.548961688,0.906804343,-1.780878172,-4.096373579,-3.924252937,0.143476341,0.235356479,20.58103224,31.93239306,-0.721072229,2.033258426,122.6136423,122.5251674,3.917293041,2.52370758,8.686332085,557.6145927,1.577693214,0,4.179790169,0,3.094614941,1.440736753,2.040648511,0.246065435,2.853552112,3.78468352,1017.154482,18.66550897,12.61858926,6.566098419,22.71008007,2.802808887
0,-3.622282303,0.424613927,5.483378561,2.579847212,2.193831293,2.742412351,0.665324675,1.881588166,49.57926829,505,0.561662647,0.531345354,14.71703066,1.747968972,1.896026955,0.672041871,1.278288057,1.034875602,-2.161763286,-4.009286336,-4.088283686,-1.905590411,0.22,28.35,36.1,-0.510825624,2.07819076,146.15,182.88,2.923111439,1.777915955,6.836490631,413.5540161,0,0,0.476082676,0,4.546403593,1.235187824,1.538701361,0,2.724526463,3.429600047,1100.038114,19.61115484,13.20717656,6.798731853,18.81195651,4.452543371
0,-5.999468493,2.644755351,5.405345873,0.804047876,0.258452434,0.805887804,0.111514382,1.379270596,53.32510288,505,3.226415583,0.104125185,14.65069199,0.530531154,1.800611833,1.016801536,0.77046737,0.552050079,-1.848914125,-2.538839251,-3.347789268,-1.514236861,0.41,30.59802469,15.4551989,-0.899053321,1.546090451,109.8541975,180.7664198,3.189338349,1.960256656,7.396937649,458.7575926,2.078927006,0,4.340164576,0,1.931302704,2.129113151,1.161520538,0,3.016946358,3.824592657,1099.062074,19.78161306,13.36058749,6.931261116,19.94206031,4.963126753
0,-4.36477235,0.724645848,5.364113782,2.047665106,1.793549211,3.260161341,0.982171859,5.87270452,50,420,1.253543151,0.198244554,1.983299419,3.64037547,0.177058696,-0.855834578,1.603793219,-1.234290496,-1.92111247,-1.993512911,-3.149040878,-3.391575758,0.34,36.08,9.46,-0.527632742,1.252762968,176.82,162.45,3.991203632,2.504631059,9.079967666,578.8778823,1.68365643,0,3.533190619,0,4.037332817,1.091132392,1.74556696,0,3.221710564,4.149272233,993.7152646,17.99306085,11.80878672,5.617878419,19.37371098,4.567544537
1,-4.493323849,1.756650292,5.369957538,2.000634271,0.606219433,1.791912785,0.245162456,4.521746963,47,424,0.950895834,0.249831166,14.25040054,1.944214578,1.90823158,0.653534841,1.144021524,0.931766372,-1.885033344,-3.388893387,-3.906388857,-1.86560843,0.24,31.26,38.67,-1.049822124,1.342864803,151.25,173.2,3.572195011,2.440373289,7.449910335,501.1467614,2.969966178,0.524712198,4.000653739,2.150563393,2.74607897,0.786615739,1.383761257,0.243721533,2.626641994,3.46075289,1133.713718,20.85432332,14.305697,7.754311423,20.7939022,6.472531316
1,-5.655901295,3.554233154,6.050609322,1.840549633,1.564440547,1.217875709,0.985816795,3.334518639,35.3055,349,3.070510718,0.191446465,6.588700897,2.730748355,0.931617197,0.281703742,0.970226888,-0.506297153,-1.584175638,-1.315952337,-3.156444201,-2.502658726,0.28235,18.90102,33.237775,-0.49013287,2.837786108,114.95756,150.426665,3.840404119,2.232425585,9.343125954,592.8623096,1.047318994,1.280933845,4.362461479,0,2.517696473,0.936093359,1.816452082,0,1.400733227,1.777840513,1000.133589,16.32796989,10.36203643,4.393104365,19.26400175,2.545235963
0,-2.718139477,1.856610442,4.911440914,0,0,0,0,1.417615128,44,404,7.840201378,0,1.356696963,3.672157258,0.052445426,-0.836424161,1.811191447,-1.868130918,-2.65700548,-3.157780678,-3.328551192,-2.115300895,0.34,23.46,18.895,-0.162518929,1.915450942,151.25,127.63,3.220978498,2.052186012,7.225850582,463.3909607,0,0,0,0,0,0,0,0,2.188013482,2.886186188,990.1083984,18.79826355,12.31197643,5.820244789,21.44149782,4.901247288
0,-6.200443886,2.761148532,4.632539109,1.040358107,1.021449271,2.007194836,0.510699393,1.3795748,44,380,1.511774419,0.061496664,14.62152672,1.261543748,1.515458805,1.002867982,0.555579059,1.41984976,-2.179093909,-4.133418086,-4.610383753,-1.031990666,0.280971915,33.88949826,41.56800568,-0.820464319,1.906088327,146.0336415,172.7556548,3.407616483,2.109376491,7.846814287,486.553285,2.311350603,0,4.166511103,0.429472497,3.144807661,1.017806694,0.365878282,0.883770148,2.237222293,3.00783243,1097.77793,20.25357039,13.34936951,6.441574442,21.44296651,4.567232607
