"","SpringArea","SummerArea","FallArea","WinterArea","Overlap"
"sim77",0.169360763831673,0.297039530113272,0.268034115672787,NA,2.91270596658897
"sim78",0.223310782992203,0.152855496237597,0.285449289078905,NA,3.04213833028009
"sim79",0.282447924199196,0.223694975344662,0.327592853682735,NA,3.67098661142755
"sim80",0.291868561024519,0.333073797487532,0.270226281672554,NA,4.23163743358377
"sim81",0.284019246319484,0.221908023480057,0.278829303464126,NA,4.01522543110151
"sim82",0.259696346170603,0.36987964419918,0.226049156694512,NA,4.05702203370648
"sim83",0.246871026725025,0.299918665998821,0.163948691459472,NA,2.32096860256805
"sim84",0.349346216130372,0.181337941664071,0.292670285927717,NA,3.20908575842386
"sim85",0.166751599313874,0.225697903929596,0.278514566060385,NA,3.71288051364017
"sim86",0.203315517192883,0.379024445247928,0.174492705491183,NA,3.54731328663448
"sim87",0.145915464260888,0.346798729787323,0.176297628062142,NA,2.1754659616355
"sim88",0.304181334450428,0.266672100407302,0.216167622893826,NA,3.7372277433729
"sim89",0.348262092909177,0.281623011268813,0.241923095722672,NA,3.87878933015705
"sim90",0.290645613390746,0.452659328616937,0.103626134256608,NA,3.58100477880298
"sim91",0.304181334450428,0.176789088086728,0.248832494149417,NA,3.05480990063343
"sim92",0.406814363837223,0.189849308528778,0.185157635879185,NA,3.74049713180546
"sim93",0.215527978289529,0.265823407964941,0.187414813597074,NA,2.77760465852654
"sim94",0.427374085172466,0.277469088775839,0.167704266768578,NA,4.22872281657395
"sim95",0.273897887322736,0.360206074901793,0.120596590538772,NA,3.5207867822967
"sim96",0.262123533929807,0.354640634138805,0.24822817383761,NA,4.17271158609628
"sim97",0.178997291270684,0.29306627204317,0.311406262385663,NA,4.03603194419577
"sim98",0.241758823132826,0.331638124234506,0.187660335564119,NA,3.41574652842839
"sim99",0.123196401219085,0.228050362380504,0.21783886756904,NA,1.50219784318235
